,I_weight,H_weight,O_weight
7153,0.93,,
7154,3.54,,
7155,1.08,,
7156,3.85,,
7157,2.7,,
7158,0.99,,
7159,2.22,,
7160,3.14,,
7161,1.22,,
7162,1.63,,
7163,0.34,,
7164,2.54,,
7165,0.81,,
7166,3.87,,
7167,1.49,,
7168,3.94,,
7169,3.13,,
7170,2.15,,
7171,1.7,,
7172,3.65,,
7173,1.81,,
7174,0.0,,
7175,1.86,,
7176,3.32,,
7177,1.16,,
7178,3.89,,
7179,0.0,,
7180,3.73,,
7181,1.93,,
7182,2.39,,
7183,3.36,,
7184,1.52,,
7185,1.41,,
7186,2.53,,
7187,2.34,,
7188,2.04,,
7189,0.18,,
7190,2.96,,
7191,2.25,,
7192,1.2,,
7193,1.58,,
7194,0.49,,
7195,0.56,,
7196,2.23,,
7197,1.12,,
7198,1.73,,
7199,2.44,,
7200,3.83,,
7201,1.27,,
7202,2.73,,
7203,1.37,,
7204,1.05,,
7205,3.01,,
7206,1.81,,
7207,0.98,,
7208,3.93,,
7209,1.37,,
7210,1.84,,
7211,2.4,,
7212,0.06,,
7213,2.77,,
7214,2.59,,
7215,0.01,,
7216,1.91,,
7217,3.61,,
7218,2.69,,
7219,1.65,,
7220,3.58,,
7221,2.81,,
7222,3.05,,
7223,2.15,,
7224,3.15,,
7225,2.6,,
7226,0.31,,
7227,0.12,,
7228,3.33,,
7229,2.69,,
7230,2.69,,
7231,1.41,,
7232,3.25,,
7233,3.31,,
7234,1.43,,
7235,0.71,,
7236,3.07,,
7237,2.79,,
7238,0.03,,
7239,1.85,,
7240,3.74,,
7241,1.78,,
7242,0.89,,
7243,0.08,,
7244,1.12,,
7245,3.69,,
7246,1.43,,
7247,0.36,,
7248,2.45,,
7249,1.21,,
7250,2.87,,
7251,0.94,,
7252,1.98,,
7253,1.45,,
7254,1.12,,
7255,3.62,,
7256,2.83,,
7257,0.84,,
7258,0.78,,
7259,3.28,,
7260,1.58,,
7261,3.48,,
7262,2.28,,
7263,1.98,,
7264,2.21,,
7265,2.64,,
7266,2.26,,
7267,2.73,,
7268,2.26,,
7269,0.26,,
7270,0.51,,
7271,0.26,,
7272,1.04,,
7273,2.28,,
7274,0.91,,
7275,2.09,,
7276,3.13,,
7277,0.77,,
7278,2.71,,
7279,3.97,,
7280,2.77,,
7281,2.13,,
7282,1.01,,
7283,2.24,,
7284,1.82,,
7285,3.75,,
7286,2.56,,
7287,3.77,,
7288,0.21,,
7289,3.76,,
7290,1.73,,
7291,3.98,,
7292,1.1,,
7293,2.72,,
7294,1.87,,
7295,1.45,,
7296,3.04,,
7297,3.54,,
7298,0.9,,
7299,1.11,,
7300,1.68,,
7301,1.8,,
7302,0.02,,
7303,0.78,,
7304,0.33,,
7305,2.29,,
7306,0.1,,
7307,2.95,,
7308,3.91,,
7309,1.7,,
7310,0.3,,
7311,1.0,,
7312,0.66,,
7313,1.24,,
7314,2.5,,
7315,0.39,,
7316,1.92,,
7317,3.23,,
7318,2.37,,
7319,2.51,,
7320,1.34,,
7321,1.0,,
7322,0.43,,
7323,0.95,,
7324,1.36,,
7325,0.22,,
7326,1.33,,
7327,3.18,,
7328,3.77,,
7329,3.1,,
7330,2.48,,
7331,3.06,,
7332,2.5,,
7333,2.32,,
7334,0.34,,
7335,0.24,,
7336,0.13,,
7337,1.25,,
7338,3.39,,
7339,0.26,,
7340,0.51,,
7341,3.68,,
7342,1.77,,
7343,1.21,,
7344,2.5,,
7345,0.26,,
7346,2.71,,
7347,2.24,,
7348,1.18,,
7349,1.53,,
7350,0.38,,
7351,3.01,,
7352,0.93,,
7353,2.4,,
7354,2.64,,
7355,0.04,,
7356,1.54,,
7357,3.18,,
7358,3.52,,
7359,2.48,,
7360,1.36,,
7361,3.75,,
7362,3.13,,
7363,1.82,,
7364,1.31,,
7365,0.77,,
7366,0.41,,
7367,2.38,,
7368,0.27,,
7369,3.16,,
7370,0.77,,
7371,2.29,,
7372,2.55,,
7373,1.03,,
7374,1.68,,
7375,2.9,,
7376,1.78,,
7377,0.97,,
7378,3.19,,
7379,0.24,,
7380,1.25,,
7381,1.74,,
7382,3.84,,
7383,3.02,,
7384,1.24,,
7385,3.54,,
7386,3.1,,
7387,0.59,,
7388,1.23,,
7389,1.37,,
7390,1.48,,
7391,0.03,,
7392,2.35,,
7393,2.71,,
7394,0.23,,
7395,2.03,,
7396,3.34,,
7397,3.43,,
7398,1.69,,
7399,0.78,,
7400,0.8,,
7401,3.63,,
7402,3.14,,
7403,1.37,,
7404,2.67,,
7405,2.78,,
7406,3.93,,
7407,2.4,,
7408,1.32,,
7409,2.31,,
7410,3.85,,
7411,2.46,,
7412,1.67,,
7413,0.65,,
7414,1.82,,
7415,3.16,,
7416,0.17,,
7417,0.88,,
7418,0.01,,
7419,0.89,,
7420,0.92,,
7421,2.5,,
7422,0.96,,
7423,2.94,,
7424,3.81,,
7425,1.33,,
7426,2.96,,
7427,0.82,,
7428,0.74,,
7429,3.96,,
7430,1.45,,
7431,0.29,,
7432,0.12,,
7433,0.46,,
7434,1.16,,
7435,0.78,,
7436,2.34,,
7437,3.06,,
7438,0.18,,
7439,0.12,,
7440,0.79,,
7441,0.7,,
7442,3.54,,
7443,2.88,,
7444,1.36,,
7445,2.22,,
7446,0.71,,
7447,0.09,,
7448,3.37,,
7449,3.64,,
7450,0.08,,
7451,2.71,,
7452,1.52,,
7453,3.15,,
7454,0.44,,
7455,3.74,,
7456,1.22,,
7457,0.96,,
7458,3.24,,
7459,2.64,,
7460,3.76,,
7461,3.91,,
7462,3.99,,
7463,3.53,,
7464,3.51,,
7465,0.26,,
7466,0.58,,
7467,3.7,,
7468,3.18,,
7469,0.77,,
7470,1.51,,
7471,1.5,,
7472,2.4,,
7473,3.91,,
7474,0.98,,
7475,0.18,,
7476,2.46,,
7477,0.76,,
7478,2.14,,
7479,3.16,,
7480,1.31,,
7481,0.21,,
7482,3.18,,
7483,3.49,,
7484,3.41,,
7485,3.87,,
7486,3.54,,
7487,0.84,,
7488,0.33,,
7489,1.88,,
7490,2.65,,
7491,0.26,,
7492,2.03,,
7493,3.01,,
7494,2.58,,
7495,2.04,,
7496,1.99,,
7497,1.86,,
7498,1.29,,
7499,1.5,,
7500,2.7799997750897614,,
7501,2.8599997750897614,,
7502,1.9799997750897618,,
7503,1.0699997750897619,,
7504,1.5999997750897619,,
7505,3.6799997750897617,,
7506,2.3399998500598413,,
7507,0.14999985005984115,,
7508,0.8799998500598412,,
7509,0.8099998500598412,,
7510,3.4499999250299207,,
7511,1.5799999250299208,,
7512,1.2199999250299207,,
7513,3.5499999250299203,,
7514,2.29,,
7515,3.74,,
7516,1.5,,
7517,2.1999999250299207,,
7518,0.5399999250299206,,
7519,0.3399999250299206,,
7520,1.7799999250299208,,
7521,1.4099999250299207,,
7522,2.3399999250299204,,
7523,1.8599999250299208,,
7524,2.4799998500598415,,
7525,1.699999850059841,,
7526,1.8699998500598412,,
7527,1.6399997750897617,,
7528,3.2199997750897618,,
7529,1.269999850059841,,
7530,1.529999850059841,,
7531,0.7199998500598411,,
7532,0.9399998500598411,,
7533,2.5799999250299206,,
7534,1.4399999250299207,,
7535,0.3299999250299206,,
7536,3.3699999250299206,,
7537,2.0499999250299203,,
7538,2.5699999250299204,,
7539,3.1399999250299206,,
7540,3.7099999250299205,,
7541,0.39,,
7542,0.29,,
7543,0.14999992502992057,,
7544,0.7999999250299206,,
7545,0.7899999250299206,,
7546,1.3199999250299208,,
7547,1.2099999250299207,,
7548,3.2599999250299203,,
7549,2.7299999250299205,,
7550,1.0999998500598411,,
7551,2.8199998500598413,,
7552,3.9899998500598417,,
7553,3.9899999250299207,,
7554,3.0099999250299203,,
7555,2.9599999250299205,,
7556,3.6499998500598414,,
7557,0.029999850059841147,,
7558,1.199999850059841,,
7559,3.2899997750897616,,
7560,3.1299997750897615,,
7561,1.619999775089762,,
7562,1.619999775089762,,
7563,2.319999700119682,,
7564,2.619999700119682,,
7565,1.8899997001196822,,
7566,2.049999700119682,,
7567,3.0399997750897616,,
7568,0.5999998500598411,,
7569,1.5899997750897619,,
7570,0.9099997750897618,,
7571,2.999999700119682,,
7572,1.8999997001196822,,
7573,2.059999625149603,,
7574,3.139999625149603,,
7575,3.0299995501795234,,
7576,2.8899995501795237,,
7577,1.8499995501795237,,
7578,3.1699994002393646,,
7579,1.249999100359047,,
7580,0.7499987255086498,,
7581,3.079998350658253,,
7582,2.789998050777935,,
7583,0.8399977508976172,,
7584,1.7999973010771406,,
7585,2.2299969262267436,,
7586,1.4999964014361877,,
7587,2.309995951615711,,
7588,0.5099955767653138,,
7589,3.769995276884996,,
7590,0.0399949770046785,,
7591,3.23999482706452,,
7592,3.339994677124361,,
7593,1.3599945271842022,,
7594,1.6799944522141224,,
7595,2.7399943772440434,,
7596,1.6099943022739638,,
7597,3.1099941523338046,,
7598,2.1499941523338046,,
7599,1.299994152333805,,
7600,0.08999415233380482,,
7601,3.1399942273038843,,
7602,3.6899943022739636,,
7603,0.6099943772440432,,
7604,3.8099944522141227,,
7605,1.3199944522141225,,
7606,2.5199944522141227,,
7607,2.4099942273038844,,
7608,2.429994152333805,,
7609,3.469993852453487,,
7610,3.9199936275432488,,
7611,0.8199934026330105,,
7612,1.5599931777227722,,
7613,2.139992952812534,,
7614,0.7499928028723752,,
7615,0.42999272790229576,,
7616,2.279992652932216,,
7617,1.809992802872375,,
7618,3.5799928028723755,,
7619,0.3699928778424546,,
7620,0.41999295281253396,,
7621,2.2099931027526925,,
7622,0.1299931777227723,,
7623,2.759993177722772,,
7624,1.9499931777227721,,
7625,0.7499932526928517,,
7626,0.27999325269285175,,
7627,3.849993327662931,,
7628,1.139993327662931,,
7629,0.9299934026330106,,
7630,2.6399934026330105,,
7631,0.27999347760309,,
7632,0.22999355257316945,,
7633,2.0699937774834076,,
7634,0.6899939274235666,,
7635,3.4399941523338047,,
7636,1.6399942273038841,,
7637,0.6299943022739637,,
7638,0.4399943772440431,,
7639,2.149994602154281,,
7640,1.9099947520944403,,
7641,0.279995051974758,,
7642,3.8199952019149164,,
7643,3.459995426825155,,
7644,0.5199956517353933,,
7645,0.8199958766456316,,
7646,1.7299961015558698,,
7647,2.8399962514960286,,
7648,1.899996326466108,,
7649,2.4099964014361874,,
7650,3.759999700119682,,
7651,2.349999700119682,,
7652,2.0099997750897614,,
7653,2.739999775089762,,
7654,1.0999997750897619,,
7655,0.029999775089761725,,
7656,0.5699998500598411,,
7657,0.25999985005984116,,
7658,1.5999998500598411,,
7659,3.2299998500598415,,
7660,2.0999999250299206,,
7661,3.6399999250299206,,
7662,3.5199999250299205,,
7663,1.8399999250299208,,
7664,2.3,,
7665,2.95,,
7666,1.15,,
7667,3.5199999250299205,,
7668,1.8299999250299208,,
7669,2.7999999250299203,,
7670,2.8499999250299206,,
7671,1.1899999250299207,,
7672,2.4499999250299207,,
7673,3.2399999250299207,,
7674,0.6999998500598411,,
7675,0.9999998500598412,,
7676,3.5999998500598416,,
7677,2.9299997750897617,,
7678,1.8299997750897619,,
7679,3.6399997750897617,,
7680,0.7299997750897618,,
7681,2.2699997750897616,,
7682,1.5699997750897619,,
7683,3.7799997750897614,,
7684,0.9599998500598411,,
7685,3.4799998500598415,,
7686,1.0999998500598411,,
7687,2.5099999250299203,,
7688,1.1699999250299207,,
7689,3.6699999250299205,,
7690,2.7899999250299206,,
7691,2.89,,
7692,0.87,,
7693,1.9699999250299207,,
7694,3.9699999250299207,,
7695,2.2099999250299205,,
7696,3.9799999250299205,,
7697,0.3099999250299206,,
7698,0.41999992502992056,,
7699,3.0699999250299204,,
7700,1.299999850059841,,
7701,1.7999997750897618,,
7702,1.0099997750897618,,
7703,2.0199998500598415,,
7704,1.8499999250299208,,
7705,0.28999992502992056,,
7706,2.7799999250299203,,
7707,2.9999998500598415,,
7708,1.519999850059841,,
7709,2.9799997750897615,,
7710,3.4199997750897615,,
7711,1.5899997750897619,,
7712,0.03999977508976172,,
7713,0.45999970011968233,,
7714,3.669999700119682,,
7715,1.3099997001196824,,
7716,2.9899996251496033,,
7717,1.9399996251496028,,
7718,0.26999955017952343,,
7719,2.1899995501795235,,
7720,0.9699994002393646,,
7721,3.7999992502992055,,
7722,0.5599991753291264,,
7723,3.279999025388967,,
7724,3.369998875448809,,
7725,0.6799988754488087,,
7726,0.06999872550864977,,
7727,0.3999987255086498,,
7728,1.1799985755684907,,
7729,2.139998275688173,,
7730,1.5599979008377762,,
7731,0.30999745101729953,,
7732,3.049997076166902,,
7733,2.7099967762865846,,
7734,0.6099964014361875,,
7735,1.4299960265857905,,
7736,0.8699955767653138,,
7737,0.13999505197475792,,
7738,2.6999947520944403,,
7739,0.8599945271842019,,
7740,2.7899943022739637,,
7741,3.349994152333805,,
7742,3.2499940773637253,,
7743,2.5599940023936463,,
7744,2.8699940023936463,,
7745,3.5899939274235666,,
7746,1.559993852453487,,
7747,1.229993852453487,,
7748,0.20999385245348712,,
7749,0.019993852453487122,,
7750,3.0899939274235666,,
7751,3.069994002393646,,
7752,3.7199940773637254,,
7753,1.4999942273038842,,
7754,0.9499943022739636,,
7755,0.3699943022739637,,
7756,1.6899942273038842,,
7757,3.9599941523338047,,
7758,1.349994002393646,,
7759,0.7699937025133282,,
7760,2.6799935525731695,,
7761,0.8799932526928517,,
7762,3.5299931027526923,,
7763,3.1899928778424544,,
7764,3.3199927279022954,,
7765,0.6699927279022958,,
7766,0.6699927279022958,,
7767,1.659992802872375,,
7768,0.4299928028723751,,
7769,1.3099928778424548,,
7770,2.249992952812534,,
7771,0.7599931027526929,,
7772,0.8299930277826134,,
7773,2.1699930277826134,,
7774,3.7599930277826132,,
7775,0.47999302778261344,,
7776,0.8599931027526929,,
7777,1.4299931027526929,,
7778,0.6899931027526929,,
7779,1.609993102752693,,
7780,1.259993102752693,,
7781,1.5599931777227722,,
7782,1.8399933276629312,,
7783,0.2599935525731694,,
7784,3.2599937774834076,,
7785,2.599993927423567,,
7786,1.479994002393646,,
7787,0.26999407736372544,,
7788,0.8699941523338048,,
7789,1.2099943022739637,,
7790,2.3999945271842016,,
7791,3.9299946771243612,,
7792,0.40999490203459904,,
7793,2.139995051974758,,
7794,3.959995276884996,,
7795,3.3999955017952344,,
7796,0.6899957267054727,,
7797,3.8399959516157107,,
7798,2.3999960265857903,,
7799,3.9299961015558704,,
7800,2.7899995501795236,,
7801,2.7099995501795235,,
7802,3.889999625149603,,
7803,2.769999700119682,,
7804,1.3299997001196824,,
7805,2.5399997750897616,,
7806,3.5399997750897616,,
7807,1.2699997750897618,,
7808,3.4099998500598416,,
7809,1.929999850059841,,
7810,1.3399998500598411,,
7811,2.4299999250299207,,
7812,2.3399999250299204,,
7813,1.5299999250299208,,
7814,2.56,,
7815,0.93,,
7816,2.3499999250299206,,
7817,3.9499999250299207,,
7818,0.9299999250299206,,
7819,2.4699999250299207,,
7820,3.5899998500598413,,
7821,1.239999850059841,,
7822,2.9499998500598417,,
7823,3.0299998500598413,,
7824,2.4799998500598415,,
7825,0.23999985005984115,,
7826,1.499999850059841,,
7827,1.1899997750897617,,
7828,0.6099997750897618,,
7829,0.8199997001196823,,
7830,0.14999970011968228,,
7831,3.689999700119682,,
7832,2.389999700119682,,
7833,3.779999700119682,,
7834,2.9599997750897615,,
7835,1.3099997750897618,,
7836,1.1099997750897619,,
7837,2.5699997750897614,,
7838,3.0399997750897616,,
7839,2.0799998500598416,,
7840,3.9099997750897617,,
7841,2.5899998500598413,,
7842,1.1499999250299207,,
7843,0.08999985005984114,,
7844,3.3899999250299206,,
7845,1.3299999250299208,,
7846,0.9699999250299205,,
7847,2.1599999250299207,,
7848,3.6299999250299204,,
7849,2.6599998500598416,,
7850,0.9899998500598411,,
7851,2.7499998500598415,,
7852,2.8799998500598414,,
7853,2.4299998500598416,,
7854,1.529999850059841,,
7855,1.289999850059841,,
7856,1.769999850059841,,
7857,0.01999985005984115,,
7858,3.4799998500598415,,
7859,0.2799998500598412,,
7860,0.7699998500598412,,
7861,2.539999700119682,,
7862,0.5699997001196823,,
7863,0.8199997001196823,,
7864,0.3699996251496029,,
7865,2.369999475209444,,
7866,3.3199994002393645,,
7867,3.7299992502992056,,
7868,0.9499991753291263,,
7869,0.30999895041888803,,
7870,2.899998800478729,,
7871,1.2499985755684908,,
7872,2.889998275688173,,
7873,0.9799980507779349,,
7874,0.7099978258676967,,
7875,0.9999976009574584,,
7876,1.1399974510172994,,
7877,1.7899973010771406,,
7878,2.5399971511369817,,
7879,1.0899968512566642,,
7880,3.1299966263464256,,
7881,0.3199962514960287,,
7882,3.889995951615711,,
7883,1.5899956517353935,,
7884,0.6699953518550756,,
7885,1.7699950519747578,,
7886,2.01999475209444,,
7887,2.939994377244043,,
7888,3.0399941523338048,,
7889,3.2799939274235665,,
7890,3.1699938524534867,,
7891,0.0799937774834077,,
7892,1.5299937025133283,,
7893,3.4199936275432488,,
7894,3.039993627543249,,
7895,3.6899936275432488,,
7896,2.3799936275432487,,
7897,0.6099936275432488,,
7898,2.909993627543249,,
7899,1.0299937025133283,,
7900,1.8499937774834079,,
7901,1.809993852453487,,
7902,1.4999939274235665,,
7903,2.419994077363725,,
7904,0.28999422730388424,,
7905,0.5499941523338049,,
7906,1.8799940773637251,,
7907,0.6199939274235666,,
7908,0.7599937774834077,,
7909,0.049993552573169425,,
7910,1.9999934026330106,,
7911,2.8999931027526924,,
7912,1.969992952812534,,
7913,3.6999928778424547,,
7914,3.7599927279022953,,
7915,3.879992652932216,,
7916,1.489992802872375,,
7917,1.9599928778424547,,
7918,2.559992952812534,,
7919,2.3499930277826135,,
7920,1.6399931027526928,,
7921,0.1599931777227723,,
7922,3.6899931777227724,,
7923,1.539993252692852,,
7924,2.259993177722772,,
7925,0.7799931777227723,,
7926,1.7499931777227722,,
7927,1.0199931777227722,,
7928,3.6499931777227723,,
7929,2.8899931777227725,,
7930,2.0399931777227724,,
7931,1.9499932526928518,,
7932,2.74999347760309,,
7933,2.789993627543249,,
7934,2.599993927423567,,
7935,3.709994002393646,,
7936,2.939994077363725,,
7937,0.9699940773637253,,
7938,0.13999415233380486,,
7939,3.2499943022739637,,
7940,2.5199944522141227,,
7941,2.709994677124361,,
7942,2.7899948270645196,,
7943,2.5799949770046786,,
7944,1.0499952019149168,,
7945,1.819995426825155,,
7946,2.719995576765314,,
7947,1.0199958016755521,,
7948,2.409995876645632,,
7949,3.809995876645632,,
7950,3.3699992502992058,,
7951,0.04999925029920575,,
7952,3.079999325269285,,
7953,2.5799994002393647,,
7954,3.669999475209444,,
7955,1.5899995501795237,,
7956,2.339999625149603,,
7957,3.599999700119682,,
7958,2.069999700119682,,
7959,0.7599998500598412,,
7960,1.689999850059841,,
7961,3.3199999250299204,,
7962,1.0099999250299208,,
7963,1.2099999250299207,,
7964,3.87,,
7965,2.63,,
7966,1.5299999250299208,,
7967,1.2299999250299207,,
7968,1.6499999250299207,,
7969,3.5099999250299203,,
7970,2.9099998500598416,,
7971,0.35999985005984114,,
7972,2.5399998500598415,,
7973,3.1099998500598414,,
7974,1.379999850059841,,
7975,0.5699998500598411,,
7976,2.9899998500598417,,
7977,3.7199997750897618,,
7978,1.5899997750897619,,
7979,1.2299997001196823,,
7980,3.9499997001196823,,
7981,3.269999700119682,,
7982,0.009999700119682299,,
7983,0.27999970011968234,,
7984,2.789999700119682,,
7985,2.099999700119682,,
7986,2.619999700119682,,
7987,2.9299997001196822,,
7988,0.6799997001196824,,
7989,1.4999997750897618,,
7990,2.8199997750897614,,
7991,0.7899998500598412,,
7992,0.7299999250299205,,
7993,3.7899998500598415,,
7994,1.7999999250299208,,
7995,3.2599999250299203,,
7996,0.7399999250299205,,
7997,0.23999992502992057,,
7998,0.7299999250299205,,
7999,3.0399998500598415,,
8000,1.039999850059841,,
8001,3.6099998500598414,,
8002,1.6399997750897617,,
8003,2.5099997750897614,,
8004,2.4999998500598415,,
8005,3.4699997750897618,,
8006,0.6599997750897618,,
8007,1.1699997001196822,,
8008,1.5099997001196823,,
8009,1.1099995501795237,,
8010,1.369999475209444,,
8011,2.339999325269285,,
8012,1.9099992502992056,,
8013,2.6899991753291266,,
8014,0.3999990253889675,,
8015,0.23999880047872918,,
8016,3.00999865053857,,
8017,0.029998425628332066,,
8018,2.329998200718094,,
8019,3.949997975807856,,
8020,0.3899976759275378,,
8021,2.0899974510172994,,
8022,0.02999715113698184,,
8023,2.4099968512566643,,
8024,3.949996551376347,,
8025,3.049996326466108,,
8026,3.7299961015558702,,
8027,1.889995951615711,,
8028,1.3499958016755522,,
8029,1.719995576765314,,
8030,1.4799953518550757,,
8031,3.5599952019149166,,
8032,3.9999949770046785,,
8033,3.26999475209444,,
8034,3.7599945271842015,,
8035,2.659994302273964,,
8036,1.5099942273038842,,
8037,0.22999400239364598,,
8038,1.419993852453487,,
8039,1.3199937774834078,,
8040,0.39999370251332833,,
8041,1.829993627543249,,
8042,2.789993627543249,,
8043,2.8999936275432487,,
8044,3.5499934776030897,,
8045,0.55999347760309,,
8046,2.40999347760309,,
8047,3.47999347760309,,
8048,1.1199934776030902,,
8049,2.7999934776030897,,
8050,3.259993552573169,,
8051,1.4699936275432488,,
8052,2.4699937025133285,,
8053,2.639993927423567,,
8054,1.899994002393646,,
8055,1.649994002393646,,
8056,0.7499939274235666,,
8057,3.9399937774834077,,
8058,3.8299937025133284,,
8059,3.24999347760309,,
8060,0.06999325269285173,,
8061,1.4399930277826134,,
8062,0.17999295281253402,,
8063,3.2299928778424545,,
8064,1.2999927279022958,,
8065,1.779992802872375,,
8066,2.4299928778424547,,
8067,1.599992952812534,,
8068,2.4499930277826136,,
8069,0.3299931777227723,,
8070,1.7099932526928519,,
8071,3.729993327662931,,
8072,3.719993327662931,,
8073,3.9499934026330106,,
8074,3.429993327662931,,
8075,3.619993327662931,,
8076,2.939993327662931,,
8077,1.179993327662931,,
8078,0.7799933276629312,,
8079,0.5699934026330105,,
8080,2.0799934026330105,,
8081,2.28999347760309,,
8082,3.429993627543249,,
8083,2.0199937025133283,,
8084,0.5099938524534872,,
8085,3.189994002393646,,
8086,1.209994002393646,,
8087,2.689994002393646,,
8088,2.189994077363725,,
8089,3.499994227303884,,
8090,0.6699943772440432,,
8091,1.7899945271842022,,
8092,0.4599946771243609,,
8093,2.6499948270645195,,
8094,0.9599949770046785,,
8095,0.8499951269448374,,
8096,3.0099953518550757,,
8097,2.6399955017952346,,
8098,0.3599955767653139,,
8099,1.739995576765314,,
8100,2.859998800478729,,
8101,0.6399988004787291,,
8102,3.719998875448809,,
8103,3.6099989504188876,,
8104,3.069999100359047,,
8105,0.8799992502992058,,
8106,1.0299994002393646,,
8107,1.9099995501795235,,
8108,3.589999700119682,,
8109,0.4899997750897617,,
8110,0.5399997750897618,,
8111,2.1399999250299206,,
8112,2.8999999250299204,,
8113,0.35999992502992056,,
8114,2.77,,
8115,3.49,,
8116,3.7299999250299205,,
8117,3.0699999250299204,,
8118,2.3999999250299204,,
8119,2.5799998500598416,,
8120,1.509999850059841,,
8121,2.8699998500598416,,
8122,2.9399998500598414,,
8123,1.529999850059841,,
8124,2.5699998500598413,,
8125,2.2499998500598415,,
8126,3.4199998500598414,,
8127,3.2299998500598415,,
8128,0.8899998500598412,,
8129,0.45999977508976175,,
8130,0.3499997750897617,,
8131,0.3599997750897617,,
8132,2.959999700119682,,
8133,3.749999700119682,,
8134,2.979999625149603,,
8135,0.4599996251496029,,
8136,1.4699996251496028,,
8137,3.409999625149603,,
8138,3.819999700119682,,
8139,2.3099997750897616,,
8140,0.009999775089761723,,
8141,0.24999985005984116,,
8142,2.1399999250299206,,
8143,3.3899999250299206,,
8144,3.9199999250299205,,
8145,1.2799999250299208,,
8146,1.4599999250299207,,
8147,2.7199998500598417,,
8148,3.1899999250299205,,
8149,2.0799998500598416,,
8150,2.4099998500598416,,
8151,0.8899997750897618,,
8152,1.5799997750897619,,
8153,2.149999700119682,,
8154,1.8399997001196824,,
8155,0.5799995501795234,,
8156,3.769999475209444,,
8157,3.3499993252692852,,
8158,1.9999992502992057,,
8159,1.819999100359047,,
8160,2.409998875448809,,
8161,0.5799987255086497,,
8162,2.6599984256283324,,
8163,3.209998200718094,,
8164,2.809997975807856,,
8165,2.399997675927538,,
8166,1.2399974510172995,,
8167,3.9599971511369816,,
8168,0.48999692622674357,,
8169,3.989996626346426,,
8170,2.8299963264661083,,
8171,1.9099960265857905,,
8172,3.309995726705473,,
8173,1.9799955017952344,,
8174,2.8199952019149164,,
8175,1.5099949770046786,,
8176,3.9199948270645195,,
8177,1.3299946021542814,,
8178,3.3099945271842017,,
8179,0.8399943772440431,,
8180,2.9299942273038844,,
8181,3.239994152333805,,
8182,2.799994077363725,,
8183,0.20999400239364596,,
8184,3.4599939274235667,,
8185,0.7199938524534871,,
8186,1.9499939274235665,,
8187,1.5699937774834078,,
8188,3.9399938524534868,,
8189,2.639993777483408,,
8190,3.389993852453487,,
8191,3.9599937774834078,,
8192,2.1899937774834077,,
8193,1.3499937025133284,,
8194,2.7099935525731693,,
8195,3.95999347760309,,
8196,3.02999340263301,,
8197,1.5599933276629312,,
8198,2.1099932526928518,,
8199,1.1299932526928518,,
8200,2.789993327662931,,
8201,0.7799934026330105,,
8202,3.42999347760309,,
8203,1.579993627543249,,
8204,0.5199937025133282,,
8205,3.0099937774834076,,
8206,2.319993702513328,,
8207,3.219993627543249,,
8208,3.39999347760309,,
8209,2.8399933276629308,,
8210,1.829993252692852,,
8211,0.649993102752693,,
8212,0.5499930277826135,,
8213,2.7799928778424543,,
8214,1.1599928778424546,,
8215,0.5799928778424545,,
8216,0.869992952812534,,
8217,2.9899930277826137,,
8218,2.9399931027526924,,
8219,0.03999325269285173,,
8220,2.8999934026330103,,
8221,2.2999934776030897,,
8222,2.7099935525731693,,
8223,3.9499935525731695,,
8224,0.5899935525731694,,
8225,3.799993552573169,,
8226,1.7099936275432488,,
8227,3.3699935525731695,,
8228,3.6999935525731695,,
8229,0.37999362754324884,,
8230,3.8999937774834077,,
8231,0.7199937774834076,,
8232,0.20999377748340767,,
8233,3.9199937774834077,,
8234,2.599993777483408,,
8235,2.369993777483408,,
8236,3.8799938524534867,,
8237,2.5099938524534866,,
8238,1.619994002393646,,
8239,0.1399940773637254,,
8240,0.9599942273038842,,
8241,1.9499943022739636,,
8242,2.7499944522141226,,
8243,3.819994602154281,,
8244,2.60999475209444,,
8245,1.499994902034599,,
8246,2.769995051974758,,
8247,3.1799951269448377,,
8248,2.6299952019149164,,
8249,3.1099952019149164,,
8250,3.459998200718094,,
8251,2.599998275688173,,
8252,1.0999983506582527,,
8253,2.609998425628332,,
8254,1.4699985755684908,,
8255,0.47999880047872917,,
8256,0.32999910035904695,,
8257,1.9599992502992056,,
8258,2.6799994752094443,,
8259,2.039999625149603,,
8260,0.0899997001196823,,
8261,2.2899998500598415,,
8262,2.2899998500598415,,
8263,1.0899999250299208,,
8264,2.9799999250299205,,
8265,3.18,,
8266,0.7199999250299205,,
8267,1.9399999250299207,,
8268,2.5799999250299206,,
8269,1.729999850059841,,
8270,2.2899998500598415,,
8271,0.3999998500598412,,
8272,0.24999985005984116,,
8273,3.6399998500598416,,
8274,3.1799998500598416,,
8275,0.7399998500598411,,
8276,3.2499998500598415,,
8277,0.07999992502992058,,
8278,2.2199999250299207,,
8279,2.1499998500598414,,
8280,3.2499998500598415,,
8281,1.9499997750897617,,
8282,2.0799997750897616,,
8283,2.339999700119682,,
8284,2.849999700119682,,
8285,3.1599997001196822,,
8286,0.4999997001196823,,
8287,3.009999700119682,,
8288,3.8599997750897614,,
8289,3.5899997750897614,,
8290,0.7199998500598411,,
8291,2.3999998500598414,,
8292,0.7199999250299205,,
8293,2.2199999250299207,,
8294,3.1999998500598417,,
